,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Base comercial,,,,,,,,,
,,Politicas ,,Hoteles,,,,,,,
,,,,,,,,,,,
,,Estado,Ciudad / Zona,Opcion A,Opcion B,Opcion C,Técnico,Supervisor,Super Intendente,Director,Rango + -
,,,,,,,Noktos por Noche,,,,
,,1. Aguascalientes,Centro Aguascalientes,IBIS BUDGET AGUASCALIENTES,ONE AGUASCALIENTES SAN MARCOS,FIESTA INN AGUASCALIENTES,7,10,10,12,10+
,,,Sur Aguascalientes,CITY EXPRESS AGUASCALIENTES SUR,ONE AGUASCALIENTES SUR,HAMPTON INN & SUITES BY HILTON AGUASCALIENTES AEROPUERTO,7,9,9,12,10+
,,2. Baja California,Mexicali,CITY EXPRESS MEXICALI,ONE MEXICALI,FIESTA INN MEXICALI,8,10,10,12,10+
,,,Tijuana,GRAND ONE PLAZA,CITY EXPRESS TIJUANA INSURGENTES,GAMMA TIJUANA,8,10,10,12,10+
,,3. Baja California Sur,Los Cabos,HOTEL PERICUE,COMFORT INN LOS CABOS,FAIRFIELD BY MARRIOTT LOS CABOS,8,10,11,12,10+
,,4. Campeche,CAMPECHE,HOTEL VILLA ESCONDIDA ,HOTEL EL NAVEGANTE ,GAMMA CAMPECHE MALECON,6,9,9,12,10+
,,,CANDELARIA, HOTEL PALMA REAL,-,-,5,6,6,12,10+
,,,CHAMPOTON,HOTEL LUA,HOTEL GEMINIS CHAMPOTON,PERLA DEL MAR CHAMPOTON,7,7,9,12,10+
,,,ESCARCEGA,HOTEL ESCARCEGA,HOTEL MARIA ISABEL,HOTEL AH KIM PECH,6,6,7,12,10+
,,,CIUDAD DEL CARMEN,CITY EXPRESS CIUDAD DEL CARMEN,HOLIDAY INN CIUDAD DEL CARMEN,COURTYARD BY MARRIOTT CIUDAD DEL CARMEN,8,9,10,12,10+
,,5. Chiapas,TUXTLA GUTIERREZ,SLEEP INN TUXTLA GUTIERREZ,CITY EXPRESS TUXTLA GUTIERREZ,FIESTA INN TUXTLA GUTIERREZ,7,8,10,12,10+
,,6. Chihuahua,CHIHUAHUA,EXTENDED SUITES CHIHUAHUA,MICROTEL INN & SUITES CHIHUAHUA,FIESTA INN CHIHUAHUA,6,8,8,12,10+
,,,CIUDAD JUAREZ,CITY EXPRESS CIUDAD JUAREZ,COMFORT INN CIUDAD JUAREZ,FIESTA INN CIUDAD JUAREZ,8,8,9,12,10+
,,7. CDMX,IZTAPALAPA,HOTEL ABASTOS PLAZA,CITY EXPRESS CDMX PLAZA CENTRAL,FIESTA INN PLAZA CENTRAL AEROPUERTO,-,8,9,13,10+
,,,CDMX,ONE CIUDAD DE MEXICO PATRIOTISMO,CITY EXPRESS PLUS INSURGENTES SUR,COURTYARD CIUDAD DE MEXICO REVOLUCION,-,10,10,13,10+
,,8. Coahuila,PIEDRAS NEGRAS,QUALITY INN PIEDRAS NEGRAS,CITY EXPRESS PIEDRAS NEGRAS,-,9,9,10,12,10+
,,,SALTILLO,EXTENDED SUITES SALTILLO,CITY EXPRESS SALTILLO NORTE,FIESTA INN SALTILLO,7,9,10,12,10+
,,,TORREON,HI TORREON,CITY EXPRESS TORREON,FIESTA INN TORREON GALERIA,7,9,10,12,10+
,,9. Colima,MANZANILLO,CITY EXPRESS MANZANILLO,-,-,8,9,9,12,10+
,,10. Durango,GOMEZ PALACIO,HOTEL NUVE GOMEZ PALACIO,BEST WESTERN POSADA DEL RIO,-,9,10,10,12,10+
,,11. Estado de México,TOLUCA DE LERDO,CITY EXPRESS JUNIOR TOLUCA AEROPUERTO,CITY EXPRESS TOLUCA,CITY EXPRESS SUITES TOLUCA,7,9,10,12,10+
,,,VALLE DE BRAVO,POSADA EL CAMPANARIO VALLE DE BRAVO,-,-,7,8,9,12,10+
,,12. Guanajuato,CELAYA,GRAN HOTEL CAMPESTRE,CITY EXPRESS CELAYA GALERÍAS,FIESTA INN CELAYA GALERIA,5,7,9,12,10+
,,,IRAPUATO,IBIS IRAPUATO,MISION IRAPUATO,HAMPTON BY HILTON IRAPUATO,6,8,9,12,10+
,,,LEON,SLEEP INN LEON ANTARES,CITY EXPRESS LEON,FIESTA INN LEON,6,9,9,12,10+
,,,SILAO,ONE SILAO,CITY EXPRESS SILAO AEROPUERTO,FIESTA INN SILAO PUERTO INTERIOR,7,8,9,12,10+
,,,SAN MIGUEL DE ALLENDE,KRYSTAL GRAND RESIDENCES & VILLAS,MISION SAN MIGUEL DE ALLENDE,KRYSTAL GRAND RESIDENCES & VILLAS,7,9,10,12,10+
,,13. Guerrero,ACAPULCO DE JUAREZ,HOTEL COSTA AZUL,ONE ACAPULCO COSTERA,HOLIDAY INN ACAPULCO LA ISLA,8,10,11,12,10+
,,,CHILAPA,GRAN PLAZA CHILAPA,GRAN PLAZA CHILAPA,GRAN PLAZA CHILAPA,6,7,8,12,10+
,,,IXTAPA,FABULOSO HOTEL LAS VEGAS, ZIHUA CARACOL,GAMMA PLAZA IXTAPA,6,10,11,12,10+
,,,CHILPANCINGO,HOLIDAY INN CHILPANCINGO,TRES VIRREYES CHILPANCINGO,-,10,12,11,12,10+
,,14. Hidalgo,PACHUCA DE SOTO,MISION EXPRESS PACHUCA,HOTEL EMILY,FIESTA INN PACHUCA GRAN PATIO,6,8,10,12,10+
,,15. Jalisco,GUADALAJARA,HOTEL EMPERADOR GUADALAJARA,SLEEP INN GUADALAJARA GALERÍAS,FIESTA INN GUADALAJARA EXPO,6,8,10,12,10+
,,,LAGOS DE MORENO,CITY EXPRESS LAGOS DE MORENO,-,-,10,10,10,12,10+
,,,PUERTO VALLARTA,ONE PUERTO VALLARTA AEROPUERTO,COMFORT INN PUERTO VALLARTA,FIESTA INN PUERTO VALLARTA ISLA,10,10,10,12,10+
,,16. Michoacán,MORELIA,BEST WESTERN GRAN HOTEL MORELIA,VISTA EXPRESS MORELIA,HOLIDAY INN EXPRESS MORELIA CENTRO HISTORICO,7,10,10,12,10+
,,,URUAPAN ,HOTEL RINCON DE MICHOACAN,-,-,5,6,7,12,10+
,,17. Morelos,CUERNAVACA,ONE CUERNAVACA,HOTEL RACQUET CUERNAVACA,FIESTA INN CUERNAVACA,9,10,10,12,10+
,,18. Nayarit,NUEVO VALLARTA,HOTEL LOS MEZCALES,HAMPTON BY HILTON NUEVO VALLARTA,HAMPTON BY HILTON NUEVO VALLARTA,6 / 10 ,11,11,12,10+
,,,TEPIC,CITY EXPRESS TEPIC,-,-,8,8,8,12,10+
,,19. Nuevo León,MONTERREY,CHN MONTERREY CENTRO,ONE MONTERREY TECNOLOGICO,CITY EXPRESS PLUS MONTERREY NUEVO SUR,8,10,11,12,10+
,,,VALLE,COMFORT INN MONTERREY VALLE,IBIS MONTERREY VALLE,FIESTA INN MONTERREY VALLE,11,11,12,13,10+
,,20. Oaxaca,HUATULCO,HOTEL MONSERRAT I,MARIA MIXTECA,CASA DANNA HUATULCO,6,10,10,12,10+
,,,OAXACA DE JUAREZ,HOTEL FERRI,ONE OAXACA CENTRO,FIESTA INN OAXACA,7,9,11,12,10+
,,,TUXTEPEC ,CITY EXPRESS JUNIOR TUXTEPEC ,-,-,7,9,10,12,10+
,,,PUERTO ESCONDIDO,HOTEL SERYMAR,HOTEL AXOLOTL,ALDEA DEL BAZAR HOTEL & SPA,9,9,10,12,10+
,,21. Puebla,TEPEACA,HOTEL CAMPESTRE MARIA ISABEL,-,-,5,7,8,12,10+
,,,PUEBLA,COMFORT INN PUEBLA,CITY EXPRESS PUEBLA CENTRO,HILTON GARDEN  PUEBLA ANGELOPOLIS,-,9,11,12,10+
,,22. Querétaro,QUERETARO,HOTEL AMBERES DE QUERETARO,CITY EXPRESS QUERETARO,FIESTA INN QUERETARO,5,8,9,12,10+
,,23. Quintana Roo,CANCUN CENTRO,KAVIA SUITES GABY,EXTENDED SUITES CANCUN,EXTENDED SUITES CANCUN,7,9,10,12,10+
,,,COZUMEL,HOTEL MARY CARMEN,HOTEL PAL COZUMEL ,HOTEL COLONIAL,7,8,10,12,10+
,,,ISLA MUJERES,HOTEL MARCIANITO ,HOTEL CASA ALMENDROS,-,9,9,10,12,10+
,,,PLAYA DEL CARMEN,SC HOTEL PLAYA DEL CARMEN,CITY EXPRESS SUITES PLAYA DEL CARMEN,CITY EXPRESS SUITES PLAYA DEL CARMEN,6,8,10,12,10+
,,,TULUM,CASA COLONIAL VINTAGE HOTEL,CASA XANATH,-,7,8,9,12,10+
,,24. San Luis Potosí,CIUDAD VALLES,TAMTOKOW HOTEL,MISION CIUDAD VALLES,,6,8,9,12,10+
,,,SAN LUIS POTOSI,COMFORT INN SAN LUIS POTOSI,IBIS SAN LUIS POTOSI ,CITY EXPRESS PLUS SAN LUIS POTOSI,7,9,9,12,10+
,,,,CITY EXPRESS SAN LUIS POTOSI ZONA UNIVERSITARIA,ONE SAN LUIS POTOSI GLORIETA JUAREZ,HOLIDAY INN EXPRESS SAN LUIS POTOSI,9,9,9,12,10+
,,25. Sinaloa,CULIACAN,ONE CULIACAN FORUM,CITY EXPRESS CULIACAN,FIESTA INN CULIACAN,8,9,10,12,10+
,,,LOS MOCHIS,CITY EXPRESS LOS MOCHIS,IBIS LOS MOCHIS,FIESTA INN LOS MOCHIS,8,9,10,12,10+
,,, MAZATLAN,SLEEP INN MAZATLAN,IBIS MAZATLAN MARINA,IBIS MAZATLAN MARINA,7,9,10,12,10+
,,26. Sonora,HERMOSILLO,CITY EXPRESS HERMOSILLO,IBIS HERMOSILLO,FIESTA INN HERMOSILLO,8,9,10,11,10+
,,,NOGALES,CITY EXPRESS NOGALES,-,-,8,9,10,12,10+
,,27. Tabasco,TABASCO,RELAX HOTELITO,-,-,6,8,9,12,10+
,,,VILLAHERMOSA,CITY EXPRESS VILLAHERMOSA,HOTEL VIVA VILLAHERMOSA,FIESTA INN VILLAHERMOSA CENCALI,8,9,10,12,10+
,,,"TENOSIQUE DE 
PINO SUAREZ",HOTEL LA ROCA TENOSIQUE,-,-,6,7,9,12,10+
,,28. Tamaulipas,CIUDAD VICTORIA,CITY EXPRESS CIUDAD VICTORIA,VICTORIA INN HOTEL EXPRESS - TAMAULIPAS,-,9,9,10,12,10+
,,,MATAMOROS,CITY EXPRESS MATAMOROS,-,-,8,9,10,12,10+
,,,NUEVO LAREDO ,CITY EXPRESS NUEVO LAREDO,FIESTA INN NUEVO LAREDO,HOLIDAY INN EXPRESS NUEVO LAREDO,8,9,10,12,10+
